Dataset_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
1,166,9,15,"9, 1, 2, 6, 7,10,11,13,16,17,18","15, 3, 4, 5, 8,12,14,19,20",1650,1350,89.98,72.158,1560.02,1277.842,3000,2837.862,1418.931,11,9,"0,61,158,187,204,231,290.6,328.8,378,404.8,430.9,449.9","0,36,103,145,212,236,259,311.4,343.79,360.79"
1,167,9,16,"9,10,11,13,17,18","16, 1, 2, 3, 4, 5, 6, 7, 8,12,14,15,19,20",900,2100,49.88,128.738,850.12,1971.262,3000,2821.382,1410.691,6,14,"0,67.1,126.7,164.9,204.3,230.4,249.4","0,28,125,178,245,287,321,338,398,422,445,493,542.2,574.59,643.69"
1,168,9,17,"9, 2, 3, 8,11,13,15,19,20","17, 1, 4, 5, 6, 7,10,12,14,16,18",1350,1650,111.758,119.72,1238.242,1530.28,3000,2768.522,1384.261,9,11,"0,56,109,151,241,279.2,396.2,445.4,477.79,558.79","0,55,76,118,152,169,196,261,284,311.5,572.5,598.6"
1,169,9,18,"9, 2, 3, 8,11,13,14,15,19,20","18, 1, 4, 5, 6, 7,10,12,16,17",1500,1500,111.758,65.86,1388.242,1434.14,3000,2822.382,1411.191,10,10,"0,56,109,151,241,279.2,348.2,396.2,445.4,477.79,558.79","0,48,69,111,145,162,189,254,276.4,303.2,329.3"
1,170,9,19,"9, 1, 4, 5,10,11,13,16,17,18","19, 2, 3, 6, 7, 8,12,14,15,20",1500,1500,82.08,68.486,1417.92,1431.514,3000,2849.434,1424.717,10,10,"0,61,82,124,191.5,251.1,289.3,338.5,365.3,391.4,410.4","0,30,83,121,138,198,222,245,293,310.03,342.43"
1,171,9,20,"9,11,13,16,17,18","20, 1, 2, 3, 4, 5, 6, 7, 8,10,12,14,15,19",900,2100,35.96,147.818,864.04,1952.182,3000,2816.222,1408.111,6,14,"0,20.5,58.7,107.9,134.7,160.8,179.8","0,79,176,229,296,338,372,389,449,521.5,586.5,609.5,657.5,706.7,739.09"
1,172,10,1,"10, 2, 3, 8,12,15,19,20","1, 4, 5, 6, 7, 9,11,13,14,16,17,18",1200,1800,63.758,82.42,1136.242,1717.58,3000,2853.822,1426.911,8,12,"0,32,85,127,151,211,260.2,292.59,318.79","0,21,63,97,114,156,176.5,214.7,283.7,311.2,338,364.1,412.1"
1,173,10,2,"10, 1, 4, 5, 6, 7,12,16,17,18","2, 3, 8, 9,11,13,14,15,19,20",1500,1500,79.74,97.658,1420.26,1402.342,3000,2822.602,1411.301,10,10,"0,85,106,148,182,199,244,266.4,293.2,319.3,398.7","0,53,95,173,193.5,231.7,300.7,348.7,397.9,430.29,488.29"
1,174,10,3,"10, 1, 2, 6, 7, 8,12,14,15,17,18","3, 4, 5, 9,11,13,16,19,20",1650,1350,113.26,72.998,1536.74,1277.002,3000,2813.742,1406.871,11,9,"0,85,182,211,228,288,312,335,383,460.8,486.9,566.3","0,67,109,121,141.5,179.7,228.9,304.6,336.99,364.99"
1,175,10,4,"10, 1, 2, 3, 7, 8,12,14,15,19,20","4, 5, 6, 9,11,13,16,17,18",1650,1350,103.758,60.76,1546.242,1289.24,3000,2835.482,1417.741,11,9,"0,85,182,235,256,316,340,363,411,460.2,492.59,518.79","0,42,76,106,126.5,164.7,213.9,240.7,266.8,303.8"
