Dataset_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
1,86,20,10,"20, 2, 3, 8, 9,13,17,18,19","10, 1, 4, 5, 6, 7,11,12,14,15,16",1350,1650,88.198,103.8,1261.802,1546.2,3000,2808.002,1404.001,9,11,"0,58,111,153,231,256.1,295.5,321.6,408.6,440.99","0,85,106,148,182,199,238.7,306.7,329.7,377.7,452.5,519"
1,87,20,11,"20, 2, 3, 8, 9,13,17,18,19","11, 1, 4, 5, 6, 7,10,12,14,15,16",1350,1650,88.198,96.08,1261.802,1553.92,3000,2815.722,1407.861,9,11,"0,58,111,153,231,256.1,295.5,321.6,408.6,440.99","0,78,99,141,175,192,219,284,307,355,429.8,480.4"
1,88,20,12,"20, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,13,14,15,16,17,18,19","12",2850,150,211.198,0,2638.802,150,3000,2788.802,1394.401,19,1,"0,79,176,229,296,338,372,389,449,527,594.1,653.7,691.9,760.9,808.9,883.7,910.5,936.6,1023.6,1055.99","0"
1,89,20,13,"20, 2, 3, 6, 7, 8,12,14,15,16,17,19","13, 1, 4, 5, 9,10,11,18",1800,1200,103.218,67.16,1696.782,1132.84,3000,2829.622,1414.811,12,8,"0,58,111,149,166,226,250,273,321,395.8,422.6,483.7,516.09","0,71,92,134,146,213.1,272.7,312.4,335.8"
1,90,20,14,"20, 2, 3, 6, 7, 8,12,15,19","14, 1, 4, 5, 9,10,11,13,16,17,18",1350,1650,78.318,86.8,1271.682,1563.2,3000,2834.882,1417.441,9,11,"0,58,111,149,166,226,250,310,359.2,391.59","0,43,64,106,118,185.1,244.7,282.9,332.1,358.9,385,434"
1,91,20,15,"20, 1, 4, 5, 9,10,11,13,16,17,18","15, 2, 3, 6, 7, 8,12,14,19",1650,1350,101.954,78.28,1548.046,1271.72,3000,2819.766,1409.883,11,9,"0,79,100,142,154,221.1,280.7,318.9,368.1,394.9,421,509.77","0,75,128,166,183,243,267,290,342.4,391.4"
1,92,20,16,"20, 2, 3, 6, 7, 8,12,14,15,19","16, 1, 4, 5, 9,10,11,13,17,18",1500,1500,80.518,71.9,1419.482,1428.1,3000,2847.582,1423.791,10,10,"0,58,111,149,166,226,250,273,321,370.2,402.59","0,28,49,91,103,170.1,229.7,267.9,307.3,333.4,359.5"
1,93,20,17,"20, 2, 3, 8,12,14,15,19","17, 1, 4, 5, 6, 7, 9,10,11,13,16,18",1200,1800,65.918,142.44,1134.082,1657.56,3000,2791.642,1395.821,8,12,"0,58,111,153,177,200,248,297.2,329.59","0,55,76,118,152,169,211,278.1,337.7,375.9,425.1,686.1,712.2"
1,94,20,18,"20, 1, 4, 5, 6, 7,10,12,14,15","18, 2, 3, 8, 9,11,13,16,17,19",1500,1500,74.606,105.96,1425.394,1394.04,3000,2819.434,1409.717,10,10,"0,79,100,142,176,193,220,285,308,356,373.03","0,74,127,169,247,267.5,305.7,354.9,381.7,442.8,529.8"
1,95,20,19,"20, 1, 4, 5, 6, 7,10,12,14,15","19, 2, 3, 8, 9,11,13,16,17,18",1500,1500,74.606,90.16,1425.394,1409.84,3000,2835.234,1417.617,10,10,"0,79,100,142,176,193,220,285,308,356,373.03","0,30,83,125,203,223.5,261.7,310.9,337.7,363.8,450.8"
