Agent,Max_Benefit_City,Max_Benefit,Min_Benefit_City,Min_Benefit,Avg_Benefit,Max_Payoff_City,Max_Payoff,Min_Payoff_City,Min_Payoff,Avg_Payoff,Max_Timestamp,Min_Timestamp,Avg_Timestamp
Agent1,1,2400,7,600,825.394736842105,1,2238.562,8,565.622,776.459147368421,1011.99,0,72.374452631579
Agent2,9,2400,10,600,871.973684210526,16,2240.222,10,564.16,816.309994736843,1046,0,86.4078434210526
